text,label
pintu bencana menerima teroris akan,0
setuju ,1
jangn masuk indonesia ,0
sakit hati ,0
sok ,0
coba covid ,0
indonesia negara covid dana covid ,0
teroris kali ppkm kaya jalan ,0
saja onar,0
dimana manusia kelompok takut kelompok rakyat jiwa,2
ruwet negara ,0
suaka hidup untuk pahlawan warga negara ,2
orang kasih hati indonesia ,0
indonesia terima pandemi ,0
patuh hajar ,0
tamu prosedur jidat rakyat masih mengatasi covid pendatang demo,0
anak ,1
demo tangkap ppkm hati takut ketularan tugas demo untuk covid hilang covid,0
penting mau,1
rakyat pribumi pontang panting nggak urus ppkm balik ham balik negara gaduh ,0
orang main demo negara langsung,0
beresiko rawan penyusup watak ,0
orang demo ,0
hidup situ mau negara orang ,0
wni lahir jelas negara ,0
penggemar,0
bos makan minum menteri rakyat ,0
penggemar berat,0
tangkap tendang kerok biang bos,0
pulangin negara asal bikin ricuh indonesia ,1
kembali negara asal,1
pikir indonesia dimana orang hak penduduk indonesia suka hajar orang imigran,0
bak negara imigran ,1
suaka ganti kolam imigran,0
negara damai suka kayak orang negeri orang ,0
contoh lihat pakai demo hidup ajar rumah rumah biar,0
,0
bantuan negeri melawan taliban negara negara bilang,2
bilang negeri suka mengerti kenapa suka suka  ,0
afghanistan negara hidup melawan  ,1
bang mengungsi kadang beol kali,0
langsung bibit bibit teroris ,0
kalau bantuan bantu ,0
laut makan ,0
belgia imigran demo undang undang negara ganti negara asal demo rumah fasilitas  ,0
aku kesel salah tulang bayar prosedur ,0
nama manusia sadar hati jantung ,0
usir bikin ,0
orang tv berita situ nonton manusia suka saudara iya kayak ,0
suka nonton iya ,0
iya nonton kayak ,0
itu warga urus rakyat rakyat bantuan kasih ,0
belgia orang pakai biang kerok suka bikin uang kerja bayar orang lokal suka,0
polisi masyarakat ,0
cari suaka susah ,0
indonesia keras bos wna negara indonesia sopan ,0
ung ,0
kecuali mata iya ,0
keras orang demo ,0
gemar berat,0
keras jongos ,0
bawa uang ,1
negeri cinta negeri produk produk indonesia ,1
negeri cinta progres progres ,1
indonesia pinggir demo bikin ricuh negara pulang lawan ,1
khianat antek antek takut juang taliban ,0
harus wna langsung pakai ,0
taliban susah presiden warga,0
polisi indonesia negara cari suaka rakyat indonesia indonesia dan petugas polisi ppkm  ,0
indonesia covid rumah ,0
indonesia garis ditambah perahu lepaskan negara biar teroris negara ,0
orang ,0
wkwkw profesional dijajah eh kasihan banget suka teriak teroris sodara ,0
lihat kaum indonesia isu berani aparat status berani salah ,1
mau negara ,1
bilang bangsa ,0
iya ,1
g klu g bukti bikin onar negara  ,0
aparat uu wna demo demo imigran negara tujuan ,1
cepat wna ,0
lihat bikin daerah ,0
pemerintah ilegal ,0
kaya kehidupan urusan dunia ,0
urusan urusin ,0
pemerintah sisi kemanusiaan hati ,0
ngurusi orang demo suaka bgitu ,0
kasih ma biar cari suaka iya ,0
urusan ,0
lh orang rakyat ,0
tu ,0
it orang deh ,0
deh ,0
penggemar berat pakai indonesia lancar ,1
penduduk makmur menambah beban negara ,0
langsung pulang urusan rakyat pandemi bantuan kaya saudi kaya bantu bahaya kehidupan  ,0
polisi pemerintah negara berani demo negara indonesia ,0
pemerintah cepat menentukan sikap manusia manusia dunia negara  ,0
negara deh mengungsi deh negara diusir deh mengandung kriminal ,0
nato mbak imigran bantu nato ,0
pantes damai contoh masyarakat negara berani demo keributan ,0
manusia iya kasih layak kasih makan coba negara ketakutan taliban negara kayak negara maju pulang takut ,2
iya taliban indonesia demo demo bikin negara indonesia ,0
kasian iya hidup coba ,2
ambil mbak rumah ,0
mbak kasih rumah kasih makan biar mbak ,0
bagus orang imigran nato taliban negara nato orang afghanistan  ,0
tampung kirim ,0
kasihan iya lihat penduduk susah ditambah sikap  polisi demo ppkm ,0
negara enak enak ,0
taro biarkan ri susah mlh mau nerima aturan ppkm warga ,0
dimana bercermin negara warga  mencari suaka negara negara  ,2
warga ribut demo orang kasih kasih makan enak klu orang cina ribut kerja dimana  ,2
waras cina ,0
negara bikin ribut negara negara mengatasi pandemi klaster ,0
demo negara orang demo negara pemerintah sok tanggal suaka negara cari  ,0
penggemar akhlak kasih ,0
cepat pindah negara   ,0
negara ,0
pilihan  negara penduduk negara negara  indonesia  ,2
bikin gaduh kejelasan rakyat hidup usaha ppkm menambah klaster ppkm level rakyat indonesia  ,0
negeri ulah profesional afghanistan rakyat afghanistan ,0
era masuk negeri tercinta indonesia hati mencari perlindungan hidup iya dunia  ,0
bikin ribut jalan kirain g demo bikin turki ,0
kadang kasian ,0
penggemar bikin ruwet balikin negara asal pontang panting cari anak ,0
penggemar negara   aza aza warga negara aza ntai negara  bos ,0
si chaplin turun tangan urusin chaplin ,0
kejelasan asli orang indonesia ,0
deh berulah cocok iya suaka ,0
bilang taliban beda masyarakat mpe indonesia ,0
pribumi ,0
bergelantungan monyet majune ketinggalan ora maju maju dadi negorone ket mbiyen onani lomba onani juara dunia ,0
orang pribumi kelaparan makan ,0
nk ,0
orang suaka negara ,0
tolong negara orang bikin ribut ,0
taliban ,0
nahh turki keras sok bilang turki lawan taliban ,0
keras nindak orang kayak nindak pendemo orang lokal langsung langsung ,0
hidup orang bikin gaduh ,0
mengaku bangsa orang masuk patuh aturan kembalikan negara  ,0
iya kemarin dibahas salah dibahas taliban demo orang ,1
sadar negara orang onar ,0
masukkan kesel menambah beban pemerintah negara susah hidup ,0
hajar afgan negara orang tembak ,0
rakyat indonesia bingung cari makan orang bikin ribut ,0
orang syukur kasih asal biar ,0
klu dibumi rakyat tanah air  ,0
negeri orang bikin onar tampung sisi kasihan tolong pemerintah orang taliban  ,0
taliban menunggu ,0
taliban enak mengungsi negara orang cari ,0
pantes orang ,0
negara bercermin negara saudara  ,2
suaka demo penduduk indonesia suaka taliban ,0
asli rakyat indonesia blom makan makan ,0
negara g deh g x orang tu demo2 ,0
negara turki tertawa berita ,0
klau ndk ndk ,0
masuk ppkm mlh bikin mlh bikin gaduh ,0
bikin negara orang x an lawan taliban ,0
demo bertahun kerusuhan ,0
demo imigran ,0
mobil petugas ,0
negara ajah hidup pekerjaan  ,1
negara irang ,0
ki indonesia lawan taliban ,0
suru pulang negara biar melawan taliban ,0
negara orang bikin onarr heran manusia kenapa iya ,0
negara menerima kemanusiaan agama ,0
nerima rumah ,0
bawa ,0
donk  negara  kirim negara  melawan taliban  ,0
warga negara rakyat susah ,0
lihat aparat coba mahasiswa pribumi demo langsung hajar air mata ,0
hajar ,0
ham indonesia ,0
mhs mhs jabarkan ,0
sakit minum mencret sembuh mati ,0
negara sulit bikin bikin negara orang ,0
akhlak covid ,0
anggota taliban masuk ,0
negara taliban asli orang pribumi afghanistan negara taliban menerima saudara prinsip ,1
kirim pulau ,0
penggemar kasihan polisi salah ham tv indonesia biar  ,0
baku tembak bos kebal kena baku hantam ,0
taliban indonesia taliban ,0
pemerintah kembalikan negara ,0
allaah indonesia selesai virus covid allaah ri indonesia smogh smogh allaah swt ,0
negara taliban fpi negara menjamin hak pindah afghanistan ,0
negara demo smp indonesia papua sja jawa ppkm ,1
cari suaka bikin ulah warga negara orang orang ,0
salah susah corona ,0
balikin negara tujuan uang ongkos ,0
asal penduduk indonesia berani demo ,0
giliran wni cari uang wna ,0
orang asli indonesia susah mikirin rakyat orang pribumi aturan ,1
indonesia balikin biar ,0
ngk ,0
iya it negara ricuh negara bahaya rakyat indonesia ,0
kapal suru ,0
setuju untung  irang urus ,0
ti  ,0
asal indonesia beban ,0
penggemar ,0
internasional ,1
negara orang mala gaduh ,0
contoh ,0
bubarkan bikin suaka merusak bikin demo ,0
biar aturan ppkm ,0
cina indonesia harga baju beli ,0
banget sikat deh bkin mh takut ham negara aturan ,0
ambil anak pakistan negeri kayak ,0
tampung ,0
indonesia demo ,0
semangat semoga th ,0
kenapa ,0
bikin gaduh cari jngn indonesia balikin  ,0
suru negarax bikin ,0
bingung negara menerima indonesia bingung ,0
haduh bikin ribut ,0
indonesia negara bangsa sengsara ,1
berani demo disaat pemerintah menerapkan ppkm wni pribumi aparat indonesia tolong biar rakyat  ,0
negara negara negara ,0
bikin ditambah seenak demo bikin rata2 akhlak ,0
hati demo disaat pandemi corona ,0
bikin bikin covid orang ,0
polisi bubarkan bikin ribut pandemi demo2 coba negara demo ,0
tangkap urusan tercinta ,0
makan capati bangsa indonesia tolong rakyat susah susah negeri covid penderitaan pemerintah ,0
tolong deportasi ,0
negeri susah ,0
berani ricuh  ,0
orang masuk indonesia masuk orang cina indonesia ,1
rakyat orang susah kasih bikin onar ,0
klau negara sopan kekacauan negara pikir kekacauan negara pulang negara ,1
kasih indonesia indonesia ,2
setuju kepentingan negara ,0
penggemar muak negara asal ,0
negara damai saudara terima jeritan rakyatmu melawan pendemi tuntas biar mkan capati ,0
ber ulah kembalikan kasih kendor manusia kasih masuk indonesia bikin ulah ,0
warga demo perlindungan angkut  ,0
